index,alcoholName,normalizedName,foodPairing,sweetness,sourness,freshness,body,degree,alcoholType,keywords,volume,priceValue,ingredients,description,imageUrl
10,DMZ 240km,dmz240km,회무침과 잘 어울린다.,0,0,0,0,25,기타주류,,450ml,,"자연송이버섯, 브랜디원액, 블랙커런트, 벌꿀","DMZ는 한국 전쟁 이후 1953년 체결된 정전 협정에 따라 남북한의 군사적 충돌을 방지하기 위해 설정된 비무장 지대로써 일반인의 출입이 엄격이 금지된 아시아 최대의 자연보호지역이다. 제조사 솔래원이 제조한 'DMZ 240km'는 이곳의 평화, 친환경, 협력의 염원을 담아 만든 술이다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595290-DMZ%20240km_main.JPG
11,G12 골디락스,g12골디락스,"닭백숙, 오리백숙, 편육, 새우젓, 겉절이와 함께 먹기에 좋다.",2,2,2,3,12,탁주,,500ml,12000,"정제수, 멥쌀(국내산), 찹쌀(국내산), 누룩, 종국, 효모, 밀함유",너무 달지도 않고 신맛도 강하지 않은 밸런스가 딱 좋은 무첨가 프리미엄 탁주. 단맛을 즐기는 전통주 입문자와 이제 자신의 취향에 맛은 맛을 찾아가는 우리술 중급자에게 딱 맞는 막걸리이다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6598732-G12%20%EA%B3%A8%EB%94%94%EB%9D%BD%EC%8A%A4_main.jpg
12,The 찾을수록 시리즈 애플,the찾을수록시리즈애플,가벼운 사과향으로 시작해 묵직한 알코올 맛으로 끝나는 술이다. 식중주보다는 가벼운 식후주로 스낵 등과 즐기기 좋다.,4,2,3,2,14,과실주,,360ml,12000,"사과와인, 정제수, 정제주정 외 제품별 농축액(복숭아, 포도, 사과, 감귤, 생강, 커피향 등)","경북 의성은 사과의 주산지로 유명한 곳이다. (주)한국애플리즈는 대대로 사과 과수원을 운영하여 온 노하우를 바탕으로 꼼꼼한 품질관리와 생산관리를 통해 한국적인 사과와인을 생산하고 있다. 한국애플리즈는 7년의 부단한 연구개발 끝에 2013년 사과와인을 베이스로한 사과소주 6종을 출시하였다. 복숭아, 청포도, 사과, 감귤, 생강, 아메리카노를 가미하여 탄생한 6종의 사과소주는 미국을 비롯한 8개국에 수출되어 활발하게 판매중이다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681200-The%20%EC%B0%BE%EC%9D%84%EC%88%98%EB%A1%9D%20%EC%8B%9C%EB%A6%AC%EC%A6%88_main.jpg
13,The 찾을수록 시리즈 진저,the찾을수록시리즈진저,상큼하고 가벼운 생강향으로 시작하지만 끝에서 다가오는 드라이한 맛이다. 식중주보다는 가벼운 식후주로 스낵 등과 즐기기 좋다.,4,2,3,2,16,과실주,,360ml,12000,"사과와인, 정제수, 정제주정 외 제품별 농축액(복숭아, 포도, 사과, 감귤, 생강, 커피향 등)","경북 의성은 사과의 주산지로 유명한 곳이다. (주)한국애플리즈는 대대로 사과 과수원을 운영하여 온 노하우를 바탕으로 꼼꼼한 품질관리와 생산관리를 통해 한국적인 사과와인을 생산하고 있다. 한국애플리즈는 7년의 부단한 연구개발 끝에 2013년 사과와인을 베이스로한 사과소주 6종을 출시하였다. 복숭아, 청포도, 사과, 감귤, 생강, 아메리카노를 가미하여 탄생한 6종의 사과소주는 미국을 비롯한 8개국에 수출되어 활발하게 판매중이다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681200-The%20%EC%B0%BE%EC%9D%84%EC%88%98%EB%A1%9D%20%EC%8B%9C%EB%A6%AC%EC%A6%88_main.jpg
14,The 찾을수록 시리즈 만다린,the찾을수록시리즈만다린,"첫 만남은 감귤향, 이어서 다가오는 드라이한 알코올 맛이다. 식중주보다는 가벼운 식후주로 스낵 등과 즐기기 좋다.",4,2,3,2,16,과실주,,360ml,12000,"사과와인, 정제수, 정제주정 외 제품별 농축액(복숭아, 포도, 사과, 감귤, 생강, 커피향 등)","경북 의성은 사과의 주산지로 유명한 곳이다. (주)한국애플리즈는 대대로 사과 과수원을 운영하여 온 노하우를 바탕으로 꼼꼼한 품질관리와 생산관리를 통해 한국적인 사과와인을 생산하고 있다. 한국애플리즈는 7년의 부단한 연구개발 끝에 2013년 사과와인을 베이스로한 사과소주 6종을 출시하였다. 복숭아, 청포도, 사과, 감귤, 생강, 아메리카노를 가미하여 탄생한 6종의 사과소주는 미국을 비롯한 8개국에 수출되어 활발하게 판매중이다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681200-The%20%EC%B0%BE%EC%9D%84%EC%88%98%EB%A1%9D%20%EC%8B%9C%EB%A6%AC%EC%A6%88_main.jpg
15,The 찾을수록 시리즈 모스카토,the찾을수록시리즈모스카토,청포도 주스에서 나오는 향긋함과 이후에 찾아오는 가벼운 알코올 맛이다. 식중주보다는 가벼운 식후주로 스낵 등과 즐기기 좋다.,4,2,3,2,14,과실주,,360ml,12000,"사과와인, 정제수, 정제주정 외 제품별 농축액(복숭아, 포도, 사과, 감귤, 생강, 커피향 등)","경북 의성은 사과의 주산지로 유명한 곳이다. (주)한국애플리즈는 대대로 사과 과수원을 운영하여 온 노하우를 바탕으로 꼼꼼한 품질관리와 생산관리를 통해 한국적인 사과와인을 생산하고 있다. 한국애플리즈는 7년의 부단한 연구개발 끝에 2013년 사과와인을 베이스로한 사과소주 6종을 출시하였다. 복숭아, 청포도, 사과, 감귤, 생강, 아메리카노를 가미하여 탄생한 6종의 사과소주는 미국을 비롯한 8개국에 수출되어 활발하게 판매중이다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681200-The%20%EC%B0%BE%EC%9D%84%EC%88%98%EB%A1%9D%20%EC%8B%9C%EB%A6%AC%EC%A6%88_main.jpg
16,The 찾을수록 시리즈 피치,the찾을수록시리즈피치,감미로운 복숭아 주스에서 나오는 단맛과 단향의 조화를 이룬다. 식중주보다는 가벼운 식후주로 스낵 등과 즐기기 좋다.,4,2,3,2,14,과실주,,360ml,12000,"사과와인, 정제수, 정제주정 외 제품별 농축액(복숭아, 포도, 사과, 감귤, 생강, 커피향 등)","경북 의성은 사과의 주산지로 유명한 곳이다. (주)한국애플리즈는 대대로 사과 과수원을 운영하여 온 노하우를 바탕으로 꼼꼼한 품질관리와 생산관리를 통해 한국적인 사과와인을 생산하고 있다. 한국애플리즈는 7년의 부단한 연구개발 끝에 2013년 사과와인을 베이스로한 사과소주 6종을 출시하였다. 복숭아, 청포도, 사과, 감귤, 생강, 아메리카노를 가미하여 탄생한 6종의 사과소주는 미국을 비롯한 8개국에 수출되어 활발하게 판매중이다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681200-The%20%EC%B0%BE%EC%9D%84%EC%88%98%EB%A1%9D%20%EC%8B%9C%EB%A6%AC%EC%A6%88_main.jpg
17,The 찾을수록 시리즈 아메리카노,the찾을수록시리즈아메리카노,"아메리카노라는 이름이 있지만, 향과 맛을 보면 진한 라떼의 향이 느껴지는 술이다. 라떼의 향이 있어 맛만 본다면 쿠키류와도 잘 어울린다. 다만 병 디자인을 생각하면 가벼운 스낵 등도 즐길 수 있다.",4,2,3,2,14,과실주,,360ml,12000,"사과와인, 정제수, 정제주정 외 제품별 농축액(복숭아, 포도, 사과, 감귤, 생강, 커피향 등)","경북 의성은 사과의 주산지로 유명한 곳이다. (주)한국애플리즈는 대대로 사과 과수원을 운영하여 온 노하우를 바탕으로 꼼꼼한 품질관리와 생산관리를 통해 한국적인 사과와인을 생산하고 있다. 한국애플리즈는 7년의 부단한 연구개발 끝에 2013년 사과와인을 베이스로한 사과소주 6종을 출시하였다. 복숭아, 청포도, 사과, 감귤, 생강, 아메리카노를 가미하여 탄생한 6종의 사과소주는 미국을 비롯한 8개국에 수출되어 활발하게 판매중이다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681200-The%20%EC%B0%BE%EC%9D%84%EC%88%98%EB%A1%9D%20%EC%8B%9C%EB%A6%AC%EC%A6%88_main.jpg
18,가덕 순쌀 막걸리,가덕순쌀막걸리,"미나리전, 고기 빈대떡, 오이무침, 족편 등 안주와 곁들이면 좋다.",3,3,3,3,6,탁주,,750ml,13500,"국내산 쌀, 효모, 조효소재, 물엿, 아스파탐, 정제수","가덕 순쌀 막걸리'는 충북 청주시에 위치한 양조장 명세주가에서 국내산 쌀로 정성껏 빚은 막걸리이다. 명세주가는 경영주가 청원생명쌀의 고장인 청원군 가덕면 한계리에서 농약을 사용하지 않고 우렁이 농법으로 친환경 재배한 지역 쌀을 원료로 막걸리, 약주, 증류주 등 다양한 제품을 생산하고 있다. 좋은 술을 만들기 위해서는 원재료비가 비싸더라도 좋은 재료를 사용해야 한다는 경영철학으로 맛과 품질에서 당당히 소비자에게 내놓을 수 있는 술을 빚고 있다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804461-%EA%B0%80%EB%8D%95%20%EC%88%9C%EC%8C%80%20%EB%A7%89%EA%B1%B8%EB%A6%AC_main.jpg
19,가을빛 레드와인,가을빛레드와인,"다만 탄닌감은 적은 만큼 스테이크 등의 고기류보다는 나물, 잡채 등과 같은 자극성 적은 한식요리에 추천하고 싶다.",2,3,3,2,14,과실주,,750ml,35000,포도(캠벨얼리),"예인화원'에서 생산하는 '남산애', '가을빛' 와인에는 일체의 인공첨가물, 어떠한 보존제도 들어 있지 않다. 많은 와인들이 아황산, 소르빈산, POBB 등을 첨가하여 제품의 유통기한을 늘리는 등의 용도로 사용하는데 자연주의 수제 와인을 생산하고 있는 예인화원에서는 자연 그대로의 맛을 전달하고자 포도 100%로만 와인을 빚고 있다. 그럼에도 불구하고 수 많은 와인품평회에서 수상하며 맛과 품질 모두에서 인정 받고 있다. '가을빛 레드와인'은 늦 수확한 포도를 건조하여 당도를 높여 캠벨얼리 품평으로 빚은 와인이다. 알코올 도수는 14도이며 짙은 루비색을 띈다. 블랙베리향, 검은 과실향, 오리엔탈 스파이스의 미디엄 바디로 부드럽고 감칠맛이 있으며, 우아하고 긴 여운이 인상적인 와인이다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804502-%EA%B0%80%EC%9D%84%EB%B9%9B%20%EB%A0%88%EB%93%9C%EC%99%80%EC%9D%B8_main.jpg
20,가평 잣 막걸리,가평잣막걸리,반찬으로 나오는 우리음식과 모두 잘 어울린다.,2,2,3,3,6,탁주,,750ml,1450,"쌀, 정제수, 쌀입국, 잣, 효모, 정제효소 등","가평의 특산물을 넣어 만드는 막걸리인 가평 생 잣 막걸리. 자연이 품어 자라는 잣송이는 최소 20m가 훌쩍 넘어가는 잣나무 가지 끝에 달린다. 이 잣송이를 거두기 위해 사람이 직접 나무를 타고 나무 꼭대기 까지 직접 타고 올라가야 하는 위험이 따른다. 이런 수확의 어려움 끝에 얻어낸 가평의 잣을 막걸리에 그대로 담아 특유의 고소한 맛으로 목 넘김이 부드럽고, 은은한 향까지 느낄 수 있어 누구나 부담 없이 마시고 느낄 수 있는 막걸리다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3551492-%EA%B0%80%ED%8F%89%20%EC%9E%A3%20%EB%A7%89%EA%B1%B8%EB%A6%AC_main.jpg
21,가평소주,가평소주,중식이나 모둠 전과 같이 기름진 음식이나 매콤한 매운탕과 잘 어울린다.,1,1,1,2,25,증류주,,375ml,7000,"정제수, 쌀, 입국, 효모",가평의 쌀을 발효하고 증류하여 만든 전통주이다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6743424-%EA%B0%80%ED%8F%89%EC%86%8C%EC%A3%BC_main.png
22,감 보드카,감보드카,붉은 빛이 도는 생선회랑 잘 어울린다.,0,0,0,0,32,일반증류주,,375ml,14000,감(국내산) 100%,감 보드카'는 충청남도 논산에서 재배한 감을 활용해 만든 증류주이다. 늦가을 수확한 홍시를 와인으로 개발하기 위해 홍국균을 이용한 전문적인 발효기술을 개발하고 고유의 풍미를 내기 위해 10여년을 연구하여 만들어낸 제품이다. 떫은 감을 홍국 균주로 당화 시켜 효모 발효를 통해 얻어진 추시와인(감와인)을 1년간 저장고에서 숙성시켜 동증류기로 수차례 증류하고 자작나무 숯 여과를 거쳐 얻어진 증류주이다. 홍국와 카테닌(타닌)으로 옅은 붉은색을 띄며 감 고유의 은은한 향과 입안을 감싸는 독특한 떫은맛이 매력적인 술이다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5804452-%EA%B0%90%20%EB%B3%B4%EB%93%9C%EC%B9%B4_main.jpg
23,감그린 레귤러,감그린레귤러,감 특유의 떫은 맛이 있어 기름진 음식과도 궁합이 괜찮다. 다만 자극성 적은 소고기류가 좋다.,3,3,3,2,12,과실주,이색전통주,750ml,18000,감(국내산),"감그린 레귤러'는 경북 청도의 특산물인 씨 없는 감으로 만든 한국와인이다. 감 특유의 떫은 맛, 달콤한 맛, 신맛이 조화를 이루어 포도와인과는 다른 색다른 향과 풍미를 자아낸다. 감이 발효되었을 때 생기는 아로마향과 부케향이 특징이며 식전주로도 손색이 없어 동서양의 요리와도 잘 어울리는 감와인이다. 청도감와인은 2005년 부산APEC정상회의 만찬주, 특히 제17~18대 대통령 취임 건배주로 선정 되는 등 수 차례 정부 공식 행사주로 선정되었다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681174-%EA%B0%90%EA%B7%B8%EB%A6%B0%20%EB%A0%88%EA%B7%A4%EB%9F%AC_main.jpg
24,감그린 스페셜,감그린스페셜,감 특유의 떫은 맛이 있어 기름진 음식과도 궁합이 괜찮다. 다만 자극성 적은 소고기류가 좋다.,3,3,3,3,12,과실주,이색전통주,750ml,25000,감(국내산),"감그린 스페셜'은 경북 청도의 특산물인 씨 없는 감으로 만든 한국와인이다. 감 특유의 떫은 맛, 달콤한 맛, 신맛이 조화를 이루어 포도와인과는 다른 색다른 향과 풍미를 자아낸다. 감이 발효되었을 때 생기는 아로마향과 부케향이 특징이며 식전주로도 손색이 없어 동서양의 요리와도 잘 어울리는 감와인이다. 청도감와인은 2005년 부산APEC정상회의 만찬주, 특히 제17~18대 대통령 취임 건배주로 선정 되는 등 수 차례 정부 공식 행사주로 선정되었다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681175-%EA%B0%90%EA%B7%B8%EB%A6%B0%20%EC%8A%A4%ED%8E%98%EC%85%9C_main.jpg
25,감그린 아이스와인,감그린아이스와인,"가벼운 맛의 모짜렐라 치즈부터 카망베르, 스모키 치즈까지 다양한 조합을 이룬다.",4,2,2,4,10,과실주,"이색전통주, 저도수",375ml,89000,감(국내산),"감그린 아이스와인'는 경북 청도의 특산물인 씨 없는 감으로 만든 한국와인이다. 감 특유의 떫은 맛, 달콤한 맛, 신맛이 조화를 이루어 포도와인과는 다른 색다른 향과 풍미를 자아낸다. 감이 발효되었을 때 생기는 아로마향과 부케향이 특징이며 식전주로도 손색이 없어 동서양의 요리와도 잘 어울리는 감와인이다. 청도감와인은 2005년 부산APEC정상회의 만찬주, 특히 제17~18대 대통령 취임 건배주로 선정 되는 등 수 차례 정부 공식 행사주로 선정되었다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/5681179-%EA%B0%90%EA%B7%B8%EB%A6%B0%20%EC%95%84%EC%9D%B4%EC%8A%A4%EC%99%80%EC%9D%B8_main.jpg
26,감사,감사,전골류와 잘 어울린다.,0,0,0,0,14,약주,선물,375ml,15000,"쌀(국내산 경기미 100%), 누룩, 정제수","용인의 술샘에서 선보이는 술 '감사', 인생에서 가장 값진 선물 중 하나가 바로 인연이라고 할 수 있는데, 그 소중한 인연에 감사하고 사랑하고 존경하는 마음을 전하기 위한 술이다. 기술적으로 어려운 멥쌀로 빚은 술이며 깔끔한 맛이 일품이다. 쌀과 물, 누룩 이외에 일체 첨가물 없이 14%로 만들어진 우리 술로 명절 차례상에도 올리기 좋은 술이다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3551564-%EA%B0%90%EC%82%AC_main.jpg
27,감아락 25도,감아락25도,견과류와 잘 어울린다.,0,0,0,0,25,일반증류주,,500ml,26000,"감증류원액, 쌀(국내산)","대봉감 천연의 달콤함을 최대한 끌어올려 색다른 맛의 감동을 선사하고 있는 배상면주가의 제품이다. 2015년 대한민국 우리술품평회 일반증류주 부문 우수상을 수상하며 맛과 품질을 인정 받았다. 아락은 아랍의 ‘아라그’, 몽골의 ‘아라케’, 만주의 ‘알키’와 같이 증류주를 부르는 세계의 공통어라고 할 수 있다. 우리나라 고려시대 평양, 안동, 제주도에서 ‘아락’이라 불려진 것이 시초이다. 느린마을 감아락 25도는 리페놀이 풍부한 대봉감을 증류해 감 특유의 향긋한 향과 달콤한 첫 맛이 특징이며, 쌀 베이스에 대봉감 천연의 달콤함을 최대한 끌어올려 색다른 맛을 자랑한다. 감의 풍부한 탄닌감을 입안 한 가득 느낄 수 있다.",https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/3595273-%EA%B0%90%EC%95%84%EB%9D%BD%2025%EB%8F%84_main.jpg
28,감악산 머루주,감악산머루주,"파주의 술인 만큼 임진강에서 잡히는 메기, 참게 요리와 잘 어울릴 듯하며, 흑염소, 오리로스구이 등 보양식과도 좋은 궁합이다.",4,4,3,3,12,과실주,,360ml,28000,"국내산 산머루원액 78.5%, 주정",감악산 머루주'는 100% 국내산 산머루로 만들어 전통옹기에서 3년 이상을 숙성한 프리미엄 머루주이다. 돌산을 쪼개에 직접 가꾼 서늘한 지하 속성 터널에서 전통옹기에서 숙성하는데 전통옹기는 용기 자체가 숨을 쉬어 오크통에서 숙성한 와인에 비해 맛과 향이 색다르다. 일교차가 크고 토질이 비옥한 경기도 파주에서 재배한 머루는 당도가 높고 신맛과 단맛이 조화롭다.,https://capstone-liquor-images.s3.ap-southeast-2.amazonaws.com/images/6040721-%EA%B0%90%EC%95%85%EC%82%B0%20%EB%A8%B8%EB%A3%A8%EC%A3%BC_main.jpg
